备货单号,第三方单号,运输方式,发货仓,中转仓,收货仓,备货单状态,sku,第三方sku,品类,箱号,装箱数量,分配的收货数量,成本价,创建人,销售部门,发货时间,整箱到货
TP0051700,RVG13218-240820-0011,快递,东莞仓,,GC美东5仓,完结订单,AML009800_WR_XXL,AML009800_WR_XXL,服装/服饰配件->情趣服装->女式->性感连衣裙,9649548,17,17,20.358,方琼b,,"2024-08-21 17:40:24",整箱到货
TP0051700,RVG13218-240820-0011,快递,东莞仓,,GC美东5仓,完结订单,AML009800_B_XL,AML009800_B_XL,服装/服饰配件->情趣服装->女式->性感连衣裙,9649548,108,108,20.358,方琼b,,"2024-08-21 17:40:24",整箱到货
TP0051700,RVG13218-240820-0011,快递,东莞仓,,GC美东5仓,完结订单,AML009800_B_XL,AML009800_B_XL,服装/服饰配件->情趣服装->女式->性感连衣裙,9650706,135,,20.358,方琼b,,"2024-08-21 17:40:24",整箱未上架
TP0051700,RVG13218-240820-0011,快递,东莞仓,,GC美东5仓,完结订单,AML009800_B_XL,AML009800_B_XL,服装/服饰配件->情趣服装->女式->性感连衣裙,9650709,135,,20.358,方琼b,,"2024-08-21 17:40:24",整箱未上架
TP0051700,RVG13218-240820-0011,快递,东莞仓,,GC美东5仓,完结订单,AML009800_B_XL,AML009800_B_XL,服装/服饰配件->情趣服装->女式->性感连衣裙,9650711,135,135,20.358,方琼b,,"2024-08-21 17:40:24",整箱到货
TP0051700,RVG13218-240820-0011,快递,东莞仓,,GC美东5仓,完结订单,AML009800_PW_L,AML009800_PW_L,服装/服饰配件->情趣服装->女式->性感连衣裙,9650712,50,50,20.358,方琼b,,"2024-08-21 17:40:24",整箱到货
TP0051700,RVG13218-240820-0011,快递,东莞仓,,GC美东5仓,完结订单,AML009800_B_XXL,AML009800_B_XXL,服装/服饰配件->情趣服装->女式->性感连衣裙,9650712,85,85,20.358,方琼b,,"2024-08-21 17:40:24",整箱到货
TP0051700,RVG13218-240820-0011,快递,东莞仓,,GC美东5仓,完结订单,AML009800_B_XXL,AML009800_B_XXL,服装/服饰配件->情趣服装->女式->性感连衣裙,9651938,120,,20.358,方琼b,,"2024-08-21 17:40:24",整箱未上架
TP0051700,RVG13218-240820-0011,快递,东莞仓,,GC美东5仓,完结订单,AML009800_B_XXL,AML009800_B_XXL,服装/服饰配件->情趣服装->女式->性感连衣裙,9651941,120,120,20.358,方琼b,,"2024-08-21 17:40:24",整箱到货
TP0051700,RVG13218-240820-0011,快递,东莞仓,,GC美东5仓,完结订单,AML009800_B_M,AML009800_B_M,服装/服饰配件->情趣服装->女式->性感连衣裙,9651946,156,156,20.358,方琼b,,"2024-08-21 17:40:24",整箱到货
TP0051700,RVG13218-240820-0011,快递,东莞仓,,GC美东5仓,完结订单,AML009800_B_M,AML009800_B_M,服装/服饰配件->情趣服装->女式->性感连衣裙,9653179,158,,20.358,方琼b,,"2024-08-21 17:40:24",整箱未上架
TP0051700,RVG13218-240820-0011,快递,东莞仓,,GC美东5仓,完结订单,AML009800_B_M,AML009800_B_M,服装/服饰配件->情趣服装->女式->性感连衣裙,9653187,158,,20.358,方琼b,,"2024-08-21 17:40:24",整箱未上架
TP0051700,RVG13218-240820-0011,快递,东莞仓,,GC美东5仓,完结订单,AML009800_B_M,AML009800_B_M,服装/服饰配件->情趣服装->女式->性感连衣裙,9653188,158,158,20.358,方琼b,,"2024-08-21 17:40:24",整箱到货
TP0051700,RVG13218-240820-0011,快递,东莞仓,,GC美东5仓,完结订单,AML009800_B_M,AML009800_B_M,服装/服饰配件->情趣服装->女式->性感连衣裙,9653191,98,,20.358,方琼b,,"2024-08-21 17:40:24",非整箱到货
TP0051700,RVG13218-240820-0011,快递,东莞仓,,GC美东5仓,完结订单,AML009800_PW_L,AML009800_PW_L,服装/服饰配件->情趣服装->女式->性感连衣裙,9653191,28,28,20.358,方琼b,,"2024-08-21 17:40:24",非整箱到货
TP0051700,RVG13218-240820-0011,快递,东莞仓,,GC美东5仓,完结订单,AML009800_PW_S,AML009800_PW_S,服装/服饰配件->情趣服装->女式->性感连衣裙,9653191,25,25,20.358,方琼b,,"2024-08-21 17:40:24",非整箱到货
TP0051700,RVG13218-240820-0011,快递,东莞仓,,GC美东5仓,完结订单,AML009800_PW_S,AML009800_PW_S,服装/服饰配件->情趣服装->女式->性感连衣裙,9653847,8,8,20.358,方琼b,,"2024-08-21 17:40:24",整箱到货
TP0051700,RVG13218-240820-0011,快递,东莞仓,,GC美东5仓,完结订单,AML009800_B_S,AML009800_B_S,服装/服饰配件->情趣服装->女式->性感连衣裙,9653847,140,140,20.358,方琼b,,"2024-08-21 17:40:24",整箱到货
TP0051700,RVG13218-240820-0011,快递,东莞仓,,GC美东5仓,完结订单,AML009800_B_S,AML009800_B_S,服装/服饰配件->情趣服装->女式->性感连衣裙,9653862,146,146,20.358,方琼b,,"2024-08-21 17:40:24",整箱到货
TP0051700,RVG13218-240820-0011,快递,东莞仓,,GC美东5仓,完结订单,AML009800_B_S,AML009800_B_S,服装/服饰配件->情趣服装->女式->性感连衣裙,9653905,145,145,20.358,方琼b,,"2024-08-21 17:40:24",整箱到货
TP0052295,5570772GDM,快船-A,东莞2仓,,沃尔玛WFS仓,完结订单,AMY005500_PAT5_XL,464528595521,服装/服饰配件->家居服->女式->睡裤,9815113,15,15,16.447,王凤梅,,"2024-09-02 22:28:08",整箱到货
TP0052295,5570772GDM,快船-A,东莞2仓,,沃尔玛WFS仓,完结订单,AMY007597_MIR_M,462000767794,服装/服饰配件->家居服->女式->睡衣套装,9815113,4,4,44.92,王凤梅,,"2024-09-02 22:28:08",整箱到货
TP0052295,5570772GDM,快船-A,东莞2仓,,沃尔玛WFS仓,完结订单,AMY007597_MIR_XL,461042503827,服装/服饰配件->家居服->女式->睡衣套装,9815113,3,3,44.92,王凤梅,,"2024-09-02 22:28:08",整箱到货
